topology_name,format,number_of_nodes,number_of_edges,connected,directed,bandwidth_available,latency_available,source_file
Belnet2003,GraphML,23,43,True,False,False,False,data\raw\graphml\graphml\Belnet2003.graphml
Belnet2004,GraphML,23,43,True,False,False,False,data\raw\graphml\graphml\Belnet2004.graphml
Belnet2005,GraphML,23,44,True,False,False,False,data\raw\graphml\graphml\Belnet2005.graphml
Belnet2006,GraphML,23,44,True,False,False,False,data\raw\graphml\graphml\Belnet2006.graphml
Belnet2007,GraphML,21,31,True,False,False,False,data\raw\graphml\graphml\Belnet2007.graphml
Belnet2008,GraphML,21,31,True,False,False,False,data\raw\graphml\graphml\Belnet2008.graphml
Belnet2009,GraphML,21,31,True,False,False,False,data\raw\graphml\graphml\Belnet2009.graphml
Belnet2010,GraphML,22,32,True,False,False,False,data\raw\graphml\graphml\Belnet2010.graphml
BeyondTheNetwork,GraphML,53,65,True,False,False,False,data\raw\graphml\graphml\BeyondTheNetwork.graphml
Bics,GraphML,33,48,True,False,False,False,data\raw\graphml\graphml\Bics.graphml
Biznet,GraphML,29,33,True,False,False,False,data\raw\graphml\graphml\Biznet.graphml
Bren,GraphML,37,38,True,False,False,False,data\raw\graphml\graphml\Bren.graphml
BsonetEurope,GraphML,18,24,True,False,False,False,data\raw\graphml\graphml\BsonetEurope.graphml
BtAsiaPac,GraphML,20,31,True,False,False,False,data\raw\graphml\graphml\BtAsiaPac.graphml
BtEurope,GraphML,24,37,True,False,False,False,data\raw\graphml\graphml\BtEurope.graphml
BtLatinAmerica,GraphML,51,50,False,False,False,False,data\raw\graphml\graphml\BtLatinAmerica.graphml
BtNorthAmerica,GraphML,36,76,True,False,False,False,data\raw\graphml\graphml\BtNorthAmerica.graphml
Canerie,GraphML,32,41,True,False,False,False,data\raw\graphml\graphml\Canerie.graphml
Carnet,GraphML,44,43,True,False,False,False,data\raw\graphml\graphml\Carnet.graphml
Cernet,GraphML,41,59,True,False,False,False,data\raw\graphml\graphml\Cernet.graphml
Cesnet1993,GraphML,10,9,True,False,False,False,data\raw\graphml\graphml\Cesnet1993.graphml
Cesnet1997,GraphML,13,12,True,False,False,False,data\raw\graphml\graphml\Cesnet1997.graphml
Cesnet1999,GraphML,13,12,True,False,False,False,data\raw\graphml\graphml\Cesnet1999.graphml
Cesnet2,GraphML,30,42,True,False,False,False,data\raw\graphml\graphml\Cesnet2.graphml
Cesnet2001,GraphML,23,23,True,False,False,False,data\raw\graphml\graphml\Cesnet2001.graphml
Cesnet200304,GraphML,29,33,True,False,False,False,data\raw\graphml\graphml\Cesnet200304.graphml
Cesnet200511,GraphML,39,44,True,False,False,False,data\raw\graphml\graphml\Cesnet200511.graphml
Cesnet200603,GraphML,39,44,True,False,False,False,data\raw\graphml\graphml\Cesnet200603.graphml
Cesnet200706,GraphML,44,51,True,False,False,False,data\raw\graphml\graphml\Cesnet200706.graphml
Cesnet201006,GraphML,52,63,True,False,False,False,data\raw\graphml\graphml\Cesnet201006.graphml
Chinanet,GraphML,42,66,True,False,False,False,data\raw\graphml\graphml\Chinanet.graphml
Claranet,GraphML,15,18,True,False,False,False,data\raw\graphml\graphml\Claranet.graphml
Cogentco,GraphML,197,245,True,False,False,False,data\raw\graphml\graphml\Cogentco.graphml
Colt,GraphML,153,191,True,False,False,False,data\raw\graphml\graphml\Colt.graphml
Columbus,GraphML,70,85,True,False,False,False,data\raw\graphml\graphml\Columbus.graphml
Compuserve,GraphML,14,17,True,False,False,False,data\raw\graphml\graphml\Compuserve.graphml
CrlNetworkServices,GraphML,33,38,True,False,False,False,data\raw\graphml\graphml\CrlNetworkServices.graphml
Cudi,GraphML,51,52,True,False,False,False,data\raw\graphml\graphml\Cudi.graphml
Cwix,GraphML,36,41,True,False,False,False,data\raw\graphml\graphml\Cwix.graphml
Cynet,GraphML,30,29,True,False,False,False,data\raw\graphml\graphml\Cynet.graphml
Darkstrand,GraphML,28,31,True,False,False,False,data\raw\graphml\graphml\Darkstrand.graphml
Dataxchange,GraphML,6,11,True,False,False,False,data\raw\graphml\graphml\Dataxchange.graphml
Deltacom,GraphML,113,183,True,False,False,False,data\raw\graphml\graphml\Deltacom.graphml
DeutscheTelekom,GraphML,39,62,False,False,False,False,data\raw\graphml\graphml\DeutscheTelekom.graphml
DeutscheTelekomIpTransitIpPopsOnly,GraphML,39,62,False,False,False,False,data\raw\graphml\graphml\DeutscheTelekomIpTransitIpPopsOnly.graphml
Dfn,GraphML,58,87,True,False,False,False,data\raw\graphml\graphml\Dfn.graphml
DialtelecomCz,GraphML,193,151,False,False,False,False,data\raw\graphml\graphml\DialtelecomCz.graphml
Digex,GraphML,31,38,True,False,False,False,data\raw\graphml\graphml\Digex.graphml
Easynet,GraphML,19,29,True,False,False,False,data\raw\graphml\graphml\Easynet.graphml
Eenet,GraphML,13,16,True,False,False,False,data\raw\graphml\graphml\Eenet.graphml
EliBackbone,GraphML,20,30,True,False,False,False,data\raw\graphml\graphml\EliBackbone.graphml
Epoch,GraphML,6,7,True,False,False,False,data\raw\graphml\graphml\Epoch.graphml
Ernet,GraphML,30,32,True,False,False,False,data\raw\graphml\graphml\Ernet.graphml
Esnet,GraphML,68,92,True,False,False,False,data\raw\graphml\graphml\Esnet.graphml
Eunetworks,GraphML,15,19,False,False,False,False,data\raw\graphml\graphml\Eunetworks.graphml
Evolink,GraphML,37,45,True,False,False,False,data\raw\graphml\graphml\Evolink.graphml
Fatman,GraphML,17,21,True,False,False,False,data\raw\graphml\graphml\Fatman.graphml
Fccn,GraphML,23,27,True,False,False,False,data\raw\graphml\graphml\Fccn.graphml
Forthnet,GraphML,62,62,True,False,False,False,data\raw\graphml\graphml\Forthnet.graphml
Funet,GraphML,26,31,True,False,False,False,data\raw\graphml\graphml\Funet.graphml
Gambia,GraphML,28,28,True,False,False,False,data\raw\graphml\graphml\Gambia.graphml
Garr,GraphML,56,74,True,False,False,False,data\raw\graphml\graphml\Garr.graphml
Garr199901,GraphML,16,18,True,False,False,False,data\raw\graphml\graphml\Garr199901.graphml
Garr199904,GraphML,23,25,True,False,False,False,data\raw\graphml\graphml\Garr199904.graphml
Garr199905,GraphML,23,25,True,False,False,False,data\raw\graphml\graphml\Garr199905.graphml
Garr200004,GraphML,22,24,True,False,False,False,data\raw\graphml\graphml\Garr200004.graphml
Garr200109,GraphML,22,24,True,False,False,False,data\raw\graphml\graphml\Garr200109.graphml
Garr200112,GraphML,24,26,True,False,False,False,data\raw\graphml\graphml\Garr200112.graphml
Garr200212,GraphML,27,29,True,False,False,False,data\raw\graphml\graphml\Garr200212.graphml
Garr200404,GraphML,22,24,True,False,False,False,data\raw\graphml\graphml\Garr200404.graphml
Garr200902,GraphML,54,71,True,False,False,False,data\raw\graphml\graphml\Garr200902.graphml
Garr200908,GraphML,54,68,True,False,False,False,data\raw\graphml\graphml\Garr200908.graphml
Garr200909,GraphML,55,69,True,False,False,False,data\raw\graphml\graphml\Garr200909.graphml
Garr200912,GraphML,54,68,True,False,False,False,data\raw\graphml\graphml\Garr200912.graphml
Garr201001,GraphML,54,68,True,False,False,False,data\raw\graphml\graphml\Garr201001.graphml
Garr201003,GraphML,54,71,True,False,False,False,data\raw\graphml\graphml\Garr201003.graphml
Garr201004,GraphML,54,71,True,False,False,False,data\raw\graphml\graphml\Garr201004.graphml
Garr201005,GraphML,55,72,True,False,False,False,data\raw\graphml\graphml\Garr201005.graphml
Garr201007,GraphML,55,74,True,False,False,False,data\raw\graphml\graphml\Garr201007.graphml
Garr201008,GraphML,55,74,True,False,False,False,data\raw\graphml\graphml\Garr201008.graphml
Garr201010,GraphML,56,75,True,False,False,False,data\raw\graphml\graphml\Garr201010.graphml
Garr201012,GraphML,56,75,True,False,False,False,data\raw\graphml\graphml\Garr201012.graphml
Garr201101,GraphML,56,76,True,False,False,False,data\raw\graphml\graphml\Garr201101.graphml
Garr201102,GraphML,57,77,True,False,False,False,data\raw\graphml\graphml\Garr201102.graphml
Garr201103,GraphML,58,81,True,False,False,False,data\raw\graphml\graphml\Garr201103.graphml
Garr201104,GraphML,59,83,True,False,False,False,data\raw\graphml\graphml\Garr201104.graphml
Garr201105,GraphML,59,84,True,False,False,False,data\raw\graphml\graphml\Garr201105.graphml
Garr201107,GraphML,59,85,True,False,False,False,data\raw\graphml\graphml\Garr201107.graphml
Garr201108,GraphML,59,85,True,False,False,False,data\raw\graphml\graphml\Garr201108.graphml
Garr201109,GraphML,59,86,True,False,False,False,data\raw\graphml\graphml\Garr201109.graphml
Garr201110,GraphML,59,87,True,False,False,False,data\raw\graphml\graphml\Garr201110.graphml
Garr201111,GraphML,60,87,True,False,False,False,data\raw\graphml\graphml\Garr201111.graphml
Garr201112,GraphML,61,89,True,False,False,False,data\raw\graphml\graphml\Garr201112.graphml
Garr201201,GraphML,61,89,True,False,False,False,data\raw\graphml\graphml\Garr201201.graphml
Gblnet,GraphML,8,7,True,False,False,False,data\raw\graphml\graphml\Gblnet.graphml
Geant,GraphML,37,57,True,False,False,False,data\raw\graphml\graphml\Geant.graphml
Geant2001,GraphML,27,38,True,False,False,False,data\raw\graphml\graphml\Geant2001.graphml
Geant2009,GraphML,34,52,True,False,False,False,data\raw\graphml\graphml\Geant2009.graphml
Geant2010,GraphML,37,58,True,False,False,False,data\raw\graphml\graphml\Geant2010.graphml
Geant2011,GraphML,40,61,False,False,False,False,data\raw\graphml\graphml\Geant2011.graphml
Geant2012,GraphML,40,61,True,False,False,False,data\raw\graphml\graphml\Geant2012.graphml
Getnet,GraphML,7,8,True,False,False,False,data\raw\graphml\graphml\Getnet.graphml
Globalcenter,GraphML,9,36,True,False,False,False,data\raw\graphml\graphml\Globalcenter.graphml
Globenet,GraphML,67,113,True,False,False,False,data\raw\graphml\graphml\Globenet.graphml
Goodnet,GraphML,17,31,True,False,False,False,data\raw\graphml\graphml\Goodnet.graphml
Grena,GraphML,16,15,True,False,False,False,data\raw\graphml\graphml\Grena.graphml
Gridnet,GraphML,9,20,True,False,False,False,data\raw\graphml\graphml\Gridnet.graphml
Grnet,GraphML,37,47,True,False,False,False,data\raw\graphml\graphml\Grnet.graphml
GtsCe,GraphML,149,193,True,False,False,False,data\raw\graphml\graphml\GtsCe.graphml
GtsCzechRepublic,GraphML,32,33,True,False,False,False,data\raw\graphml\graphml\GtsCzechRepublic.graphml
GtsHungary,GraphML,30,31,True,False,False,False,data\raw\graphml\graphml\GtsHungary.graphml
GtsPoland,GraphML,33,37,True,False,False,False,data\raw\graphml\graphml\GtsPoland.graphml
GtsRomania,GraphML,21,24,True,False,False,False,data\raw\graphml\graphml\GtsRomania.graphml
GtsSlovakia,GraphML,35,37,True,False,False,False,data\raw\graphml\graphml\GtsSlovakia.graphml
Harnet,GraphML,21,25,True,False,False,False,data\raw\graphml\graphml\Harnet.graphml
Heanet,GraphML,7,13,True,False,False,False,data\raw\graphml\graphml\Heanet.graphml
Hibernia,GraphML,18,22,True,False,False,False,data\raw\graphml\graphml\Hibernia.graphml
HiberniaCanada,GraphML,13,14,True,False,False,False,data\raw\graphml\graphml\HiberniaCanada.graphml
HiberniaGlobal,GraphML,55,81,True,False,False,False,data\raw\graphml\graphml\HiberniaGlobal.graphml
HiberniaIreland,GraphML,8,8,True,False,False,False,data\raw\graphml\graphml\HiberniaIreland.graphml
HiberniaNireland,GraphML,18,22,True,False,False,False,data\raw\graphml\graphml\HiberniaNireland.graphml
HiberniaUk,GraphML,15,15,True,False,False,False,data\raw\graphml\graphml\HiberniaUk.graphml
HiberniaUs,GraphML,22,29,True,False,False,False,data\raw\graphml\graphml\HiberniaUs.graphml
Highwinds,GraphML,18,53,True,False,False,False,data\raw\graphml\graphml\Highwinds.graphml
HostwayInternational,GraphML,16,21,True,False,False,False,data\raw\graphml\graphml\HostwayInternational.graphml
HurricaneElectric,GraphML,24,37,True,False,False,False,data\raw\graphml\graphml\HurricaneElectric.graphml
Ibm,GraphML,18,24,True,False,False,False,data\raw\graphml\graphml\Ibm.graphml
Iij,GraphML,37,66,True,False,False,False,data\raw\graphml\graphml\Iij.graphml
Iinet,GraphML,31,35,True,False,False,False,data\raw\graphml\graphml\Iinet.graphml
Ilan,GraphML,14,15,True,False,False,False,data\raw\graphml\graphml\Ilan.graphml
Integra,GraphML,27,36,True,False,False,False,data\raw\graphml\graphml\Integra.graphml
Intellifiber,GraphML,73,97,True,False,False,False,data\raw\graphml\graphml\Intellifiber.graphml
Internet2,GraphML,20,26,True,False,False,False,data\raw\graphml\graphml\Internet2.graphml
Internetmci,GraphML,19,45,True,False,False,False,data\raw\graphml\graphml\Internetmci.graphml
Internode,GraphML,66,78,True,False,False,False,data\raw\graphml\graphml\Internode.graphml
Interoute,GraphML,110,158,True,False,False,False,data\raw\graphml\graphml\Interoute.graphml
IntNetworkmap,GraphML,89,92,False,False,False,False,data\raw\graphml\graphml\IntNetworkmap.graphml
Intranetwork,GraphML,39,53,True,False,False,False,data\raw\graphml\graphml\Intranetwork.graphml
Ion,GraphML,125,150,True,False,False,False,data\raw\graphml\graphml\Ion.graphml
IowaStatewideFiberMap,GraphML,33,41,True,False,False,False,data\raw\graphml\graphml\IowaStatewideFiberMap.graphml
Iris,GraphML,51,64,True,False,False,False,data\raw\graphml\graphml\Iris.graphml
Istar,GraphML,23,23,True,False,False,False,data\raw\graphml\graphml\Istar.graphml
Itnet,GraphML,11,10,True,False,False,False,data\raw\graphml\graphml\Itnet.graphml
Janetbackbone,GraphML,29,45,True,False,False,False,data\raw\graphml\graphml\Janetbackbone.graphml
JanetExternal,GraphML,12,10,False,False,False,False,data\raw\graphml\graphml\JanetExternal.graphml
Janetlense,GraphML,20,40,True,False,False,False,data\raw\graphml\graphml\Janetlense.graphml
Jgn2Plus,GraphML,18,17,True,False,False,False,data\raw\graphml\graphml\Jgn2Plus.graphml
Karen,GraphML,25,30,True,False,False,False,data\raw\graphml\graphml\Karen.graphml
Kdl,GraphML,754,899,True,False,False,False,data\raw\graphml\graphml\Kdl.graphml
KentmanApr2007,GraphML,23,24,False,False,False,False,data\raw\graphml\graphml\KentmanApr2007.graphml
KentmanAug2005,GraphML,28,29,False,False,False,False,data\raw\graphml\graphml\KentmanAug2005.graphml
KentmanFeb2008,GraphML,26,28,True,False,False,False,data\raw\graphml\graphml\KentmanFeb2008.graphml
KentmanJan2011,GraphML,38,39,True,False,False,False,data\raw\graphml\graphml\KentmanJan2011.graphml
KentmanJul2005,GraphML,16,17,True,False,False,False,data\raw\graphml\graphml\KentmanJul2005.graphml
Kreonet,GraphML,13,12,True,False,False,False,data\raw\graphml\graphml\Kreonet.graphml
LambdaNet,GraphML,42,46,True,False,False,False,data\raw\graphml\graphml\LambdaNet.graphml
Latnet,GraphML,69,74,True,False,False,False,data\raw\graphml\graphml\Latnet.graphml
Layer42,GraphML,6,7,True,False,False,False,data\raw\graphml\graphml\Layer42.graphml
Litnet,GraphML,43,43,True,False,False,False,data\raw\graphml\graphml\Litnet.graphml
Marnet,GraphML,20,27,True,False,False,False,data\raw\graphml\graphml\Marnet.graphml
Marwan,GraphML,16,18,True,False,False,False,data\raw\graphml\graphml\Marwan.graphml
Missouri,GraphML,67,83,True,False,False,False,data\raw\graphml\graphml\Missouri.graphml
Mren,GraphML,6,5,True,False,False,False,data\raw\graphml\graphml\Mren.graphml
Myren,GraphML,37,40,True,False,False,False,data\raw\graphml\graphml\Myren.graphml
Napnet,GraphML,6,7,True,False,False,False,data\raw\graphml\graphml\Napnet.graphml
Navigata,GraphML,13,17,True,False,False,False,data\raw\graphml\graphml\Navigata.graphml
Netrail,GraphML,7,10,True,False,False,False,data\raw\graphml\graphml\Netrail.graphml
NetworkUsa,GraphML,35,39,True,False,False,False,data\raw\graphml\graphml\NetworkUsa.graphml
Nextgen,GraphML,17,20,True,False,False,False,data\raw\graphml\graphml\Nextgen.graphml
Niif,GraphML,36,41,True,False,False,False,data\raw\graphml\graphml\Niif.graphml
Noel,GraphML,19,25,True,False,False,False,data\raw\graphml\graphml\Noel.graphml
Nordu,GraphML,33,45,True,False,False,False,data\raw\graphml\graphml\Nordu.graphml
Nordu1989,GraphML,7,6,True,False,False,False,data\raw\graphml\graphml\Nordu1989.graphml
Nordu1997,GraphML,14,13,True,False,False,False,data\raw\graphml\graphml\Nordu1997.graphml
Nordu2005,GraphML,9,10,True,False,False,False,data\raw\graphml\graphml\Nordu2005.graphml
Nordu2010,GraphML,18,17,False,False,False,False,data\raw\graphml\graphml\Nordu2010.graphml
Nsfcnet,GraphML,10,10,False,False,False,False,data\raw\graphml\graphml\Nsfcnet.graphml
Nsfnet,GraphML,13,15,True,False,False,False,data\raw\graphml\graphml\Nsfnet.graphml
Ntelos,GraphML,48,61,False,False,False,False,data\raw\graphml\graphml\Ntelos.graphml
Ntt,GraphML,47,216,False,False,False,False,data\raw\graphml\graphml\Ntt.graphml
Opteglobe,GraphML,93,106,False,False,False,False,data\raw\graphml\graphml\Opteglobe.graphml
Oteglobe,GraphML,93,106,False,False,False,False,data\raw\graphml\graphml\Oteglobe.graphml
Oxford,GraphML,20,26,True,False,False,False,data\raw\graphml\graphml\Oxford.graphml
Pacificwave,GraphML,18,27,True,False,False,False,data\raw\graphml\graphml\Pacificwave.graphml
Packetexchange,GraphML,21,27,True,False,False,False,data\raw\graphml\graphml\Packetexchange.graphml
Padi,GraphML,15,6,False,False,False,False,data\raw\graphml\graphml\Padi.graphml
Palmetto,GraphML,45,70,True,False,False,False,data\raw\graphml\graphml\Palmetto.graphml
Peer1,GraphML,16,20,True,False,False,False,data\raw\graphml\graphml\Peer1.graphml
Pern,GraphML,127,129,True,False,False,False,data\raw\graphml\graphml\Pern.graphml
PionierL1,GraphML,36,41,True,False,False,False,data\raw\graphml\graphml\PionierL1.graphml
PionierL3,GraphML,38,52,True,False,False,False,data\raw\graphml\graphml\PionierL3.graphml
Psinet,GraphML,24,25,True,False,False,False,data\raw\graphml\graphml\Psinet.graphml
Psnc,GraphML,36,41,True,False,False,False,data\raw\graphml\graphml\Psnc.graphml
Quest,GraphML,20,31,True,False,False,False,data\raw\graphml\graphml\Quest.graphml
RedBestel,GraphML,84,101,True,False,False,False,data\raw\graphml\graphml\RedBestel.graphml
Rediris,GraphML,19,32,True,False,False,False,data\raw\graphml\graphml\Rediris.graphml
Renam,GraphML,5,4,True,False,False,False,data\raw\graphml\graphml\Renam.graphml
Renater1999,GraphML,24,23,True,False,False,False,data\raw\graphml\graphml\Renater1999.graphml
Renater2001,GraphML,24,27,True,False,False,False,data\raw\graphml\graphml\Renater2001.graphml
Renater2004,GraphML,30,36,True,False,False,False,data\raw\graphml\graphml\Renater2004.graphml
Renater2006,GraphML,33,43,True,False,False,False,data\raw\graphml\graphml\Renater2006.graphml
Renater2008,GraphML,33,43,True,False,False,False,data\raw\graphml\graphml\Renater2008.graphml
Renater2010,GraphML,43,56,True,False,False,False,data\raw\graphml\graphml\Renater2010.graphml
Restena,GraphML,19,21,True,False,False,False,data\raw\graphml\graphml\Restena.graphml
Reuna,GraphML,37,36,True,False,False,False,data\raw\graphml\graphml\Reuna.graphml
Rhnet,GraphML,16,18,True,False,False,False,data\raw\graphml\graphml\Rhnet.graphml
Rnp,GraphML,31,34,True,False,False,False,data\raw\graphml\graphml\Rnp.graphml
Roedunet,GraphML,42,50,True,False,False,False,data\raw\graphml\graphml\Roedunet.graphml
RoedunetFibre,GraphML,48,52,True,False,False,False,data\raw\graphml\graphml\RoedunetFibre.graphml
Sago,GraphML,18,17,True,False,False,False,data\raw\graphml\graphml\Sago.graphml
Sanet,GraphML,43,45,True,False,False,False,data\raw\graphml\graphml\Sanet.graphml
Sanren,GraphML,7,7,True,False,False,False,data\raw\graphml\graphml\Sanren.graphml
Savvis,GraphML,19,20,True,False,False,False,data\raw\graphml\graphml\Savvis.graphml
Shentel,GraphML,28,35,True,False,False,False,data\raw\graphml\graphml\Shentel.graphml
Sinet,GraphML,74,76,True,False,False,False,data\raw\graphml\graphml\Sinet.graphml
Singaren,GraphML,11,10,True,False,False,False,data\raw\graphml\graphml\Singaren.graphml
Spiralight,GraphML,15,16,True,False,False,False,data\raw\graphml\graphml\Spiralight.graphml
Sprint,GraphML,11,18,True,False,False,False,data\raw\graphml\graphml\Sprint.graphml
Sunet,GraphML,26,49,True,False,False,False,data\raw\graphml\graphml\Sunet.graphml
Surfnet,GraphML,50,73,True,False,False,False,data\raw\graphml\graphml\Surfnet.graphml
Switch,GraphML,74,92,True,False,False,False,data\raw\graphml\graphml\Switch.graphml
SwitchL3,GraphML,42,63,True,False,False,False,data\raw\graphml\graphml\SwitchL3.graphml
Syringa,GraphML,74,74,True,False,False,False,data\raw\graphml\graphml\Syringa.graphml
TataNld,GraphML,145,194,True,False,False,False,data\raw\graphml\graphml\TataNld.graphml
Telcove,GraphML,73,70,False,False,False,False,data\raw\graphml\graphml\Telcove.graphml
Telecomserbia,GraphML,6,6,True,False,False,False,data\raw\graphml\graphml\Telecomserbia.graphml
Tinet,GraphML,53,89,True,False,False,False,data\raw\graphml\graphml\Tinet.graphml
TLex,GraphML,12,16,True,False,False,False,data\raw\graphml\graphml\TLex.graphml
Tw,GraphML,76,118,False,False,False,False,data\raw\graphml\graphml\Tw.graphml
Twaren,GraphML,20,20,True,False,False,False,data\raw\graphml\graphml\Twaren.graphml
Ulaknet,GraphML,82,82,True,False,False,False,data\raw\graphml\graphml\Ulaknet.graphml
UniC,GraphML,25,29,True,False,False,False,data\raw\graphml\graphml\UniC.graphml
Uninet,GraphML,13,25,True,False,False,False,data\raw\graphml\graphml\Uninet.graphml
Uninett,GraphML,74,97,False,False,False,False,data\raw\graphml\graphml\Uninett.graphml
Uninett2010,GraphML,74,101,True,False,False,False,data\raw\graphml\graphml\Uninett2010.graphml
Uninett2011,GraphML,69,98,True,False,False,False,data\raw\graphml\graphml\Uninett2011.graphml
Uran,GraphML,24,24,True,False,False,False,data\raw\graphml\graphml\Uran.graphml
UsCarrier,GraphML,158,189,True,False,False,False,data\raw\graphml\graphml\UsCarrier.graphml
UsSignal,GraphML,63,79,False,False,False,False,data\raw\graphml\graphml\UsSignal.graphml
Uunet,GraphML,49,84,True,False,False,False,data\raw\graphml\graphml\Uunet.graphml
Vinaren,GraphML,25,26,True,False,False,False,data\raw\graphml\graphml\Vinaren.graphml
VisionNet,GraphML,24,23,True,False,False,False,data\raw\graphml\graphml\VisionNet.graphml
VtlWavenet2008,GraphML,88,92,True,False,False,False,data\raw\graphml\graphml\VtlWavenet2008.graphml
VtlWavenet2011,GraphML,92,96,True,False,False,False,data\raw\graphml\graphml\VtlWavenet2011.graphml
WideJpn,GraphML,30,33,True,False,False,False,data\raw\graphml\graphml\WideJpn.graphml
Xeex,GraphML,24,34,True,False,False,False,data\raw\graphml\graphml\Xeex.graphml
Xspedius,GraphML,34,49,True,False,False,False,data\raw\graphml\graphml\Xspedius.graphml
York,GraphML,23,24,True,False,False,False,data\raw\graphml\graphml\York.graphml
Zamren,GraphML,36,34,False,False,False,False,data\raw\graphml\graphml\Zamren.graphml
Aarnet,GML,19,24,True,False,False,False,data\raw\gml\gml\Aarnet.gml
Abilene,GML,11,14,True,False,False,False,data\raw\gml\gml\Abilene.gml
Abvt,GML,23,31,True,False,False,False,data\raw\gml\gml\Abvt.gml
Aconet,GML,23,31,True,False,False,False,data\raw\gml\gml\Aconet.gml
Agis,GML,25,30,True,False,False,False,data\raw\gml\gml\Agis.gml
Ai3,GML,10,9,True,False,False,False,data\raw\gml\gml\Ai3.gml
Amres,GML,25,24,True,False,False,False,data\raw\gml\gml\Amres.gml
Ans,GML,18,25,True,False,False,False,data\raw\gml\gml\Ans.gml
Arn,GML,30,29,True,False,False,False,data\raw\gml\gml\Arn.gml
Arpanet196912,GML,4,4,True,False,False,False,data\raw\gml\gml\Arpanet196912.gml
Arpanet19706,GML,9,10,True,False,False,False,data\raw\gml\gml\Arpanet19706.gml
Atmnet,GML,21,22,True,False,False,False,data\raw\gml\gml\Atmnet.gml
BackboneSerbiaMontenegro,GML,6,6,True,False,False,False,data\raw\gml\gml\BackboneSerbiaMontenegro.gml
Bandcon,GML,22,28,False,False,False,False,data\raw\gml\gml\Bandcon.gml
Basnet,GML,7,6,True,False,False,False,data\raw\gml\gml\Basnet.gml
Bbnplanet,GML,27,28,True,False,False,False,data\raw\gml\gml\Bbnplanet.gml
Bics,GML,33,48,True,False,False,False,data\raw\gml\gml\Bics.gml
Biznet,GML,29,33,True,False,False,False,data\raw\gml\gml\Biznet.gml
Cesnet1993,GML,10,9,True,False,False,False,data\raw\gml\gml\Cesnet1993.gml
Cesnet1999,GML,13,12,True,False,False,False,data\raw\gml\gml\Cesnet1999.gml
Cesnet2,GML,30,42,True,False,False,False,data\raw\gml\gml\Cesnet2.gml
Cesnet2001,GML,23,23,True,False,False,False,data\raw\gml\gml\Cesnet2001.gml
Cesnet200304,GML,29,33,True,False,False,False,data\raw\gml\gml\Cesnet200304.gml
Cesnet200511,GML,39,44,True,False,False,False,data\raw\gml\gml\Cesnet200511.gml
Cesnet200603,GML,39,44,True,False,False,False,data\raw\gml\gml\Cesnet200603.gml
Cesnet200706,GML,44,51,True,False,False,False,data\raw\gml\gml\Cesnet200706.gml
